animal_type,breed,age,gender,disease,core_symptom,symptom_1,symptom_2,symptom_3,medicine,recovery_days,care_1,care_2
Cat,Persian,7,Male,Nutritional Deficiency,fatigue,weak bones,poor growth,fatigue,Vitamin supplement,9,Keep shelter clean,Regular vaccination
Cat,Persian,9,Female,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,10,Keep shelter clean,Regular vaccination
Cat,Siamese,4,Female,Bacterial Infection,pus discharge,pus discharge,fever,lethargy,Broad spectrum antibiotic,11,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Male,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,6,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Female,Foot Rot,hoof swelling,limping,hoof swelling,pain walking,Hoof antibiotic spray,14,Keep shelter clean,Regular vaccination
Cat,Persian,5,Female,Foot Rot,pain walking,limping,hoof swelling,pain walking,Hoof antibiotic spray,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,3,Male,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,12,Keep shelter clean,Regular vaccination
Cat,Siamese,7,Male,Digestive Disorder,diarrhea,diarrhea,vomiting,bloating,Digestive tonic,11,Keep shelter clean,Regular vaccination
Cat,Maine Coon,1,Male,Parasitic Worms,weight loss,weight loss,rough coat,fatigue,Deworming medicine,9,Keep shelter clean,Regular vaccination
Cat,Persian,10,Male,Digestive Disorder,vomiting,diarrhea,vomiting,bloating,Digestive tonic,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,2,Male,Parasitic Worms,weight loss,weight loss,rough coat,fatigue,Deworming medicine,7,Keep shelter clean,Regular vaccination
Cat,Persian,8,Female,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,11,Keep shelter clean,Regular vaccination
Cat,Siamese,9,Female,Foot Rot,hoof swelling,limping,hoof swelling,pain walking,Hoof antibiotic spray,9,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Male,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,6,Keep shelter clean,Regular vaccination
Cat,Siamese,2,Male,Bacterial Infection,lethargy,pus discharge,fever,lethargy,Broad spectrum antibiotic,13,Keep shelter clean,Regular vaccination
Cat,Maine Coon,4,Male,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,12,Keep shelter clean,Regular vaccination
Cat,Persian,8,Male,Skin Allergy,itching,itching,red skin,hair loss,Antihistamine cream,11,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Male,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,7,Keep shelter clean,Regular vaccination
Cat,Persian,7,Female,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,14,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Female,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,7,Keep shelter clean,Regular vaccination
Cat,Persian,10,Female,Fever Infection,loss appetite,high fever,weakness,loss appetite,Antipyretic injection,11,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Male,Eye Infection,swelling,watery eyes,red eyes,swelling,Eye drops,7,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Female,Foot Rot,hoof swelling,limping,hoof swelling,pain walking,Hoof antibiotic spray,6,Keep shelter clean,Regular vaccination
Cat,Maine Coon,6,Male,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,6,Keep shelter clean,Regular vaccination
Cat,Maine Coon,8,Male,Skin Allergy,hair loss,itching,red skin,hair loss,Antihistamine cream,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,10,Male,Skin Allergy,itching,itching,red skin,hair loss,Antihistamine cream,6,Keep shelter clean,Regular vaccination
Cat,Persian,1,Male,Fever Infection,weakness,high fever,weakness,loss appetite,Antipyretic injection,7,Keep shelter clean,Regular vaccination
Cat,Siamese,7,Female,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,12,Keep shelter clean,Regular vaccination
Cat,Maine Coon,8,Male,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,7,Keep shelter clean,Regular vaccination
Cat,Persian,4,Female,Bacterial Infection,lethargy,pus discharge,fever,lethargy,Broad spectrum antibiotic,10,Keep shelter clean,Regular vaccination
Cat,Siamese,2,Female,Viral Fever,dehydration,fever,shivering,dehydration,Supportive IV fluids,14,Keep shelter clean,Regular vaccination
Cat,Siamese,1,Female,Foot Rot,hoof swelling,limping,hoof swelling,pain walking,Hoof antibiotic spray,13,Keep shelter clean,Regular vaccination
Cat,Maine Coon,1,Female,Fever Infection,weakness,high fever,weakness,loss appetite,Antipyretic injection,14,Keep shelter clean,Regular vaccination
Cat,Maine Coon,9,Male,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,14,Keep shelter clean,Regular vaccination
Cat,Maine Coon,6,Female,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,6,Keep shelter clean,Regular vaccination
Cat,Persian,2,Female,Foot Rot,limping,limping,hoof swelling,pain walking,Hoof antibiotic spray,10,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Female,Viral Fever,fever,fever,shivering,dehydration,Supportive IV fluids,10,Keep shelter clean,Regular vaccination
Cat,Maine Coon,10,Male,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,8,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Male,Digestive Disorder,vomiting,diarrhea,vomiting,bloating,Digestive tonic,7,Keep shelter clean,Regular vaccination
Cat,Siamese,9,Male,Skin Allergy,itching,itching,red skin,hair loss,Antihistamine cream,11,Keep shelter clean,Regular vaccination
Cat,Persian,6,Male,Foot Rot,pain walking,limping,hoof swelling,pain walking,Hoof antibiotic spray,9,Keep shelter clean,Regular vaccination
Cat,Siamese,7,Male,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,6,Female,Viral Fever,fever,fever,shivering,dehydration,Supportive IV fluids,13,Keep shelter clean,Regular vaccination
Cat,Persian,10,Female,Eye Infection,red eyes,watery eyes,red eyes,swelling,Eye drops,11,Keep shelter clean,Regular vaccination
Cat,Persian,2,Male,Foot Rot,hoof swelling,limping,hoof swelling,pain walking,Hoof antibiotic spray,6,Keep shelter clean,Regular vaccination
Cat,Persian,6,Male,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,6,Keep shelter clean,Regular vaccination
Cat,Persian,6,Male,Nutritional Deficiency,fatigue,weak bones,poor growth,fatigue,Vitamin supplement,13,Keep shelter clean,Regular vaccination
Cat,Maine Coon,9,Male,Bacterial Infection,lethargy,pus discharge,fever,lethargy,Broad spectrum antibiotic,14,Keep shelter clean,Regular vaccination
Cat,Siamese,2,Female,Nutritional Deficiency,fatigue,weak bones,poor growth,fatigue,Vitamin supplement,11,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Male,Fever Infection,weakness,high fever,weakness,loss appetite,Antipyretic injection,7,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Female,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,11,Keep shelter clean,Regular vaccination
Cat,Siamese,7,Female,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,11,Keep shelter clean,Regular vaccination
Cat,Persian,8,Female,Skin Allergy,hair loss,itching,red skin,hair loss,Antihistamine cream,13,Keep shelter clean,Regular vaccination
Cat,Persian,7,Female,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,9,Keep shelter clean,Regular vaccination
Cat,Maine Coon,10,Male,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,10,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Female,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,6,Keep shelter clean,Regular vaccination
Cat,Persian,10,Male,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,6,Keep shelter clean,Regular vaccination
Cat,Siamese,4,Male,Foot Rot,limping,limping,hoof swelling,pain walking,Hoof antibiotic spray,13,Keep shelter clean,Regular vaccination
Cat,Siamese,1,Female,Viral Fever,fever,fever,shivering,dehydration,Supportive IV fluids,7,Keep shelter clean,Regular vaccination
Cat,Persian,8,Male,Eye Infection,swelling,watery eyes,red eyes,swelling,Eye drops,13,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Female,Nutritional Deficiency,poor growth,weak bones,poor growth,fatigue,Vitamin supplement,11,Keep shelter clean,Regular vaccination
Cat,Persian,6,Male,Nutritional Deficiency,poor growth,weak bones,poor growth,fatigue,Vitamin supplement,10,Keep shelter clean,Regular vaccination
Cat,Maine Coon,9,Male,Nutritional Deficiency,weak bones,weak bones,poor growth,fatigue,Vitamin supplement,10,Keep shelter clean,Regular vaccination
Cat,Persian,10,Male,Eye Infection,red eyes,watery eyes,red eyes,swelling,Eye drops,6,Keep shelter clean,Regular vaccination
Cat,Persian,1,Female,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,13,Keep shelter clean,Regular vaccination
Cat,Maine Coon,3,Male,Parasitic Worms,fatigue,weight loss,rough coat,fatigue,Deworming medicine,12,Keep shelter clean,Regular vaccination
Cat,Persian,4,Male,Fever Infection,weakness,high fever,weakness,loss appetite,Antipyretic injection,7,Keep shelter clean,Regular vaccination
Cat,Maine Coon,3,Female,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,10,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Male,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,10,Keep shelter clean,Regular vaccination
Cat,Maine Coon,3,Female,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,12,Keep shelter clean,Regular vaccination
Cat,Maine Coon,9,Female,Bacterial Infection,pus discharge,pus discharge,fever,lethargy,Broad spectrum antibiotic,14,Keep shelter clean,Regular vaccination
Cat,Persian,7,Male,Parasitic Worms,fatigue,weight loss,rough coat,fatigue,Deworming medicine,5,Keep shelter clean,Regular vaccination
Cat,Maine Coon,9,Female,Eye Infection,swelling,watery eyes,red eyes,swelling,Eye drops,14,Keep shelter clean,Regular vaccination
Cat,Maine Coon,8,Male,Fever Infection,weakness,high fever,weakness,loss appetite,Antipyretic injection,10,Keep shelter clean,Regular vaccination
Cat,Persian,1,Male,Skin Allergy,red skin,itching,red skin,hair loss,Antihistamine cream,6,Keep shelter clean,Regular vaccination
Cat,Maine Coon,1,Female,Viral Fever,dehydration,fever,shivering,dehydration,Supportive IV fluids,12,Keep shelter clean,Regular vaccination
Cat,Maine Coon,1,Male,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,10,Keep shelter clean,Regular vaccination
Cat,Persian,8,Male,Fever Infection,weakness,high fever,weakness,loss appetite,Antipyretic injection,8,Keep shelter clean,Regular vaccination
Cat,Siamese,6,Male,Skin Allergy,red skin,itching,red skin,hair loss,Antihistamine cream,9,Keep shelter clean,Regular vaccination
Cat,Persian,8,Female,Skin Allergy,hair loss,itching,red skin,hair loss,Antihistamine cream,11,Keep shelter clean,Regular vaccination
Cat,Persian,6,Female,Foot Rot,pain walking,limping,hoof swelling,pain walking,Hoof antibiotic spray,13,Keep shelter clean,Regular vaccination
Cat,Siamese,3,Male,Nutritional Deficiency,fatigue,weak bones,poor growth,fatigue,Vitamin supplement,14,Keep shelter clean,Regular vaccination
Cat,Persian,6,Female,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,14,Keep shelter clean,Regular vaccination
Cat,Siamese,4,Female,Parasitic Worms,fatigue,weight loss,rough coat,fatigue,Deworming medicine,7,Keep shelter clean,Regular vaccination
Cat,Persian,1,Male,Nutritional Deficiency,fatigue,weak bones,poor growth,fatigue,Vitamin supplement,10,Keep shelter clean,Regular vaccination
Cat,Maine Coon,2,Male,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,12,Keep shelter clean,Regular vaccination
Cat,Persian,6,Male,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,10,Keep shelter clean,Regular vaccination
Cat,Persian,9,Male,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,7,Keep shelter clean,Regular vaccination
Cat,Persian,10,Male,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,12,Keep shelter clean,Regular vaccination
Cat,Persian,5,Male,Nutritional Deficiency,poor growth,weak bones,poor growth,fatigue,Vitamin supplement,6,Keep shelter clean,Regular vaccination
Cat,Maine Coon,5,Male,Digestive Disorder,vomiting,diarrhea,vomiting,bloating,Digestive tonic,14,Keep shelter clean,Regular vaccination
Cat,Persian,9,Female,Foot Rot,pain walking,limping,hoof swelling,pain walking,Hoof antibiotic spray,12,Keep shelter clean,Regular vaccination
Cat,Maine Coon,5,Male,Parasitic Worms,rough coat,weight loss,rough coat,fatigue,Deworming medicine,6,Keep shelter clean,Regular vaccination
Cat,Siamese,9,Male,Eye Infection,red eyes,watery eyes,red eyes,swelling,Eye drops,7,Keep shelter clean,Regular vaccination
Cat,Persian,5,Female,Skin Allergy,itching,itching,red skin,hair loss,Antihistamine cream,10,Keep shelter clean,Regular vaccination
Cat,Persian,4,Male,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,5,Keep shelter clean,Regular vaccination
Cat,Siamese,3,Female,Foot Rot,pain walking,limping,hoof swelling,pain walking,Hoof antibiotic spray,10,Keep shelter clean,Regular vaccination
Cat,Persian,10,Male,Viral Fever,fever,fever,shivering,dehydration,Supportive IV fluids,9,Keep shelter clean,Regular vaccination
Cat,Persian,7,Male,Skin Allergy,hair loss,itching,red skin,hair loss,Antihistamine cream,13,Keep shelter clean,Regular vaccination
Cat,Siamese,3,Female,Foot Rot,limping,limping,hoof swelling,pain walking,Hoof antibiotic spray,13,Keep shelter clean,Regular vaccination
Cat,Maine Coon,1,Female,Eye Infection,red eyes,watery eyes,red eyes,swelling,Eye drops,11,Keep shelter clean,Regular vaccination
Cat,Maine Coon,1,Male,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,10,Keep shelter clean,Regular vaccination
Cat,Maine Coon,3,Female,Digestive Disorder,vomiting,diarrhea,vomiting,bloating,Digestive tonic,9,Keep shelter clean,Regular vaccination
Cat,Maine Coon,2,Male,Eye Infection,swelling,watery eyes,red eyes,swelling,Eye drops,5,Keep shelter clean,Regular vaccination
Cat,Siamese,6,Female,Viral Fever,dehydration,fever,shivering,dehydration,Supportive IV fluids,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,8,Female,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,12,Keep shelter clean,Regular vaccination
Cat,Persian,3,Male,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,8,Male,Bacterial Infection,pus discharge,pus discharge,fever,lethargy,Broad spectrum antibiotic,9,Keep shelter clean,Regular vaccination
Cat,Maine Coon,6,Male,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,5,Keep shelter clean,Regular vaccination
Cat,Siamese,9,Female,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,10,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Female,Digestive Disorder,vomiting,diarrhea,vomiting,bloating,Digestive tonic,6,Keep shelter clean,Regular vaccination
Cat,Maine Coon,2,Female,Parasitic Worms,rough coat,weight loss,rough coat,fatigue,Deworming medicine,14,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Male,Nutritional Deficiency,poor growth,weak bones,poor growth,fatigue,Vitamin supplement,8,Keep shelter clean,Regular vaccination
Cat,Persian,3,Male,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,13,Keep shelter clean,Regular vaccination
Cat,Persian,8,Male,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,13,Keep shelter clean,Regular vaccination
Cat,Maine Coon,9,Male,Respiratory Infection,cough,cough,sneeze,fever,Antibiotic syrup,12,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Male,Nutritional Deficiency,fatigue,weak bones,poor growth,fatigue,Vitamin supplement,14,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Male,Nutritional Deficiency,fatigue,weak bones,poor growth,fatigue,Vitamin supplement,7,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Male,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,7,Keep shelter clean,Regular vaccination
Cat,Persian,8,Male,Nutritional Deficiency,weak bones,weak bones,poor growth,fatigue,Vitamin supplement,14,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Female,Respiratory Infection,cough,cough,sneeze,fever,Antibiotic syrup,5,Keep shelter clean,Regular vaccination
Cat,Maine Coon,10,Male,Foot Rot,pain walking,limping,hoof swelling,pain walking,Hoof antibiotic spray,5,Keep shelter clean,Regular vaccination
Cat,Siamese,3,Female,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,5,Keep shelter clean,Regular vaccination
Cat,Persian,3,Male,Eye Infection,swelling,watery eyes,red eyes,swelling,Eye drops,11,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Male,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,10,Female,Foot Rot,hoof swelling,limping,hoof swelling,pain walking,Hoof antibiotic spray,9,Keep shelter clean,Regular vaccination
Cat,Siamese,4,Male,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,14,Keep shelter clean,Regular vaccination
Cat,Persian,4,Female,Respiratory Infection,cough,cough,sneeze,fever,Antibiotic syrup,9,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Male,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,12,Keep shelter clean,Regular vaccination
Cat,Siamese,6,Male,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,5,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Male,Parasitic Worms,fatigue,weight loss,rough coat,fatigue,Deworming medicine,13,Keep shelter clean,Regular vaccination
Cat,Siamese,5,Female,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,5,Keep shelter clean,Regular vaccination
Cat,Siamese,2,Female,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,12,Keep shelter clean,Regular vaccination
Cat,Maine Coon,1,Male,Skin Allergy,hair loss,itching,red skin,hair loss,Antihistamine cream,13,Keep shelter clean,Regular vaccination
Cat,Maine Coon,6,Male,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,7,Keep shelter clean,Regular vaccination
Cat,Maine Coon,5,Female,Respiratory Infection,cough,cough,sneeze,fever,Antibiotic syrup,13,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Male,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,6,Keep shelter clean,Regular vaccination
Cat,Maine Coon,9,Female,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,6,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Female,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,6,Keep shelter clean,Regular vaccination
Cat,Persian,10,Female,Nutritional Deficiency,weak bones,weak bones,poor growth,fatigue,Vitamin supplement,12,Keep shelter clean,Regular vaccination
Cat,Maine Coon,2,Male,Digestive Disorder,diarrhea,diarrhea,vomiting,bloating,Digestive tonic,12,Keep shelter clean,Regular vaccination
Cat,Persian,2,Female,Respiratory Infection,cough,cough,sneeze,fever,Antibiotic syrup,8,Keep shelter clean,Regular vaccination
Cat,Siamese,6,Female,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,12,Keep shelter clean,Regular vaccination
Cat,Siamese,7,Female,Respiratory Infection,cough,cough,sneeze,fever,Antibiotic syrup,12,Keep shelter clean,Regular vaccination
Cat,Maine Coon,5,Female,Bacterial Infection,pus discharge,pus discharge,fever,lethargy,Broad spectrum antibiotic,14,Keep shelter clean,Regular vaccination
Cat,Siamese,9,Male,Digestive Disorder,diarrhea,diarrhea,vomiting,bloating,Digestive tonic,10,Keep shelter clean,Regular vaccination
Cat,Persian,6,Male,Fever Infection,loss appetite,high fever,weakness,loss appetite,Antipyretic injection,12,Keep shelter clean,Regular vaccination
Cat,Maine Coon,5,Male,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,10,Keep shelter clean,Regular vaccination
Cat,Persian,1,Female,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,5,Keep shelter clean,Regular vaccination
Cat,Persian,2,Male,Fever Infection,loss appetite,high fever,weakness,loss appetite,Antipyretic injection,14,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Male,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,14,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Female,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,11,Keep shelter clean,Regular vaccination
Cat,Siamese,10,Male,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,11,Keep shelter clean,Regular vaccination
Cat,Maine Coon,8,Female,Digestive Disorder,vomiting,diarrhea,vomiting,bloating,Digestive tonic,9,Keep shelter clean,Regular vaccination
Cat,Persian,8,Male,Digestive Disorder,vomiting,diarrhea,vomiting,bloating,Digestive tonic,11,Keep shelter clean,Regular vaccination
Cat,Persian,5,Female,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,6,Keep shelter clean,Regular vaccination
Cat,Persian,5,Female,Parasitic Worms,weight loss,weight loss,rough coat,fatigue,Deworming medicine,14,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Female,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,14,Keep shelter clean,Regular vaccination
Cat,Persian,9,Female,Skin Allergy,red skin,itching,red skin,hair loss,Antihistamine cream,13,Keep shelter clean,Regular vaccination
Cat,Siamese,2,Male,Fever Infection,weakness,high fever,weakness,loss appetite,Antipyretic injection,9,Keep shelter clean,Regular vaccination
Cat,Siamese,2,Female,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,10,Keep shelter clean,Regular vaccination
Cat,Maine Coon,1,Female,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,14,Keep shelter clean,Regular vaccination
Cat,Siamese,5,Male,Nutritional Deficiency,weak bones,weak bones,poor growth,fatigue,Vitamin supplement,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,10,Female,Eye Infection,red eyes,watery eyes,red eyes,swelling,Eye drops,13,Keep shelter clean,Regular vaccination
